"Interval start","All","Master","Slave 1"
105.7,0,0,0
105.8,0,0,0
105.9,0,0,0
106,0,0,0
106.1,0,0,0
106.2,0,0,0
106.3,0,0,0
106.4,0,0,0
106.5,0,0,0
106.6,0,0,0
106.7,0,0,0
106.8,0,0,0
106.9,0,0,0
107,0,0,0
107.1,0,0,0
107.2,7668,1296,934
107.3,121735,76989,7728
107.4,72936,47504,4727
107.5,220606,114905,18459
107.6,142460,92841,8460
107.7,0,0,0
107.8,0,0,0
107.9,0,0,0
108,0,0,0
108.1,0,0,0
108.2,0,0,0
108.3,0,0,0
108.4,0,0,0
108.5,0,0,0
108.6,0,0,0
108.7,0,0,0
108.8,0,0,0
108.9,0,0,0
109,0,0,0
109.1,0,0,0
109.2,0,0,0
109.3,0,0,0
109.4,0,0,0
109.5,0,0,0
109.6,0,0,0
109.7,0,0,0
109.8,0,0,0
109.9,0,0,0
110,0,0,0
110.1,0,0,0
110.2,0,0,0
110.3,0,0,0
110.4,0,0,0
110.5,0,0,0
110.6,0,0,0
110.7,0,0,0
110.8,0,0,0
110.9,0,0,0
111,0,0,0
111.1,0,0,0
111.2,31460,24576,1190
111.3,259504,164970,17370
111.4,267671,139503,21290
111.5,0,0,0
111.6,0,0,0
111.7,0,0,0
111.8,0,0,0
111.9,0,0,0
112,0,0,0
112.1,0,0,0
112.2,0,0,0
112.3,0,0,0
112.4,0,0,0
112.5,0,0,0
112.6,0,0,0
112.7,0,0,0
112.8,0,0,0
112.9,0,0,0
113,0,0,0
113.1,0,0,0
113.2,0,0,0
113.3,0,0,0
113.4,0,0,0
113.5,0,0,0
113.6,0,0,0
113.7,0,0,0
113.8,0,0,0
113.9,0,0,0
114,0,0,0
114.1,0,0,0
114.2,0,0,0
114.3,0,0,0
114.4,0,0,0
114.5,0,0,0
114.6,0,0,0
114.7,0,0,0
114.8,0,0,0
114.9,0,0,0
115,0,0,0
115.1,0,0,0
115.2,34498,27870,1062
115.3,293259,176828,21813
115.4,231104,126603,16130
115.5,0,0,0
115.6,0,0,0
115.7,0,0,0
115.8,0,0,0
115.9,0,0,0
116,0,0,0
116.1,0,0,0
116.2,0,0,0
116.3,0,0,0
116.4,0,0,0
116.5,0,0,0
116.6,0,0,0
116.7,0,0,0
116.8,0,0,0
116.9,0,0,0
117,0,0,0
117.1,0,0,0
117.2,0,0,0
117.3,0,0,0
117.4,0,0,0
117.5,0,0,0
117.6,0,0,0
117.7,0,0,0
117.8,0,0,0
117.9,0,0,0
118,0,0,0
118.1,0,0,0
118.2,27781,20897,1190
118.3,291964,180030,19369
118.4,236449,127852,19279
118.5,0,0,0
118.6,0,0,0
118.7,0,0,0
118.8,0,0,0
118.9,0,0,0
119,0,0,0
119.1,0,0,0
119.2,0,0,0
119.3,0,0,0
119.4,0,0,0
119.5,0,0,0
119.6,0,0,0
119.7,0,0,0
119.8,0,0,0
119.9,0,0,0
120,0,0,0
120.1,0,0,0
120.2,0,0,0
120.3,0,0,0
120.4,0,0,0
120.5,0,0,0
120.6,0,0,0
120.7,0,0,0
120.8,0,0,0
120.9,0,0,0
121,0,0,0
121.1,0,0,0
121.2,0,0,0
121.3,0,0,0
121.4,0,0,0
121.5,0,0,0
121.6,0,0,0
121.7,0,0,0
121.8,0,0,0
121.9,0,0,0
122,0,0,0
122.1,0,0,0
122.2,0,0,0
122.3,0,0,0
122.4,0,0,0
122.5,0,0,0
122.6,0,0,0
122.7,0,0,0
122.8,0,0,0
122.9,0,0,0
123,0,0,0
123.1,0,0,0
123.2,25107,18351,1190
123.3,278867,174586,18913
123.4,253955,137482,19162
123.5,529,0,0
123.6,0,0,0
123.7,0,0,0
123.8,0,0,0
123.9,0,0,0
124,0,0,0
124.1,0,0,0
124.2,0,0,0
124.3,0,0,0
124.4,0,0,0
124.5,0,0,0
124.6,0,0,0
124.7,0,0,0
124.8,0,0,0
124.9,0,0,0
125,0,0,0
125.1,0,0,0
125.2,0,0,0
125.3,0,0,0
125.4,0,0,0
125.5,0,0,0
125.6,0,0,0
125.7,0,0,0
125.8,0,0,0
125.9,0,0,0
126,0,0,0
126.1,0,0,0
126.2,0,0,0
126.3,0,0,0
126.4,0,0,0
126.5,0,0,0
126.6,0,0,0
126.7,0,0,0
126.8,0,0,0
126.9,0,0,0
127,0,0,0
127.1,0,0,0
127.2,0,0,0
127.3,0,0,0
127.4,0,0,0
127.5,0,0,0
127.6,0,0,0
127.7,0,0,0
127.8,0,0,0
127.9,0,0,0
128,0,0,0
128.1,0,0,0
128.2,0,0,0
128.3,0,0,0
128.4,0,0,0
128.5,0,0,0
128.6,0,0,0
128.7,0,0,0
128.8,0,0,0
128.9,0,0,0
129,0,0,0
129.1,0,0,0
129.2,25069,18185,1190
129.3,281294,178653,17112
129.4,251880,132577,21589
129.5,0,0,0
129.6,0,0,0
129.7,0,0,0
129.8,0,0,0
129.9,0,0,0
130,0,0,0
130.1,0,0,0
130.2,0,0,0
130.3,0,0,0
130.4,0,0,0
130.5,0,0,0
130.6,0,0,0
130.7,0,0,0
130.8,0,0,0
130.9,0,0,0
131,0,0,0
131.1,0,0,0
131.2,0,0,0
131.3,0,0,0
131.4,0,0,0
131.5,0,0,0
131.6,0,0,0
131.7,0,0,0
131.8,0,0,0
131.9,0,0,0
132,0,0,0
132.1,0,0,0
132.2,0,0,0
132.3,0,0,0
132.4,0,0,0
132.5,0,0,0
132.6,0,0,0
132.7,0,0,0
132.8,0,0,0
132.9,0,0,0
133,0,0,0
133.1,0,0,0
133.2,24020,17520,1062
133.3,293232,183700,19762
133.4,240582,129301,18830
133.5,0,0,0
133.6,0,0,0
133.7,0,0,0
133.8,0,0,0
133.9,0,0,0
134,0,0,0
134.1,0,0,0
134.2,0,0,0
134.3,0,0,0
134.4,0,0,0
134.5,0,0,0
134.6,0,0,0
134.7,0,0,0
134.8,0,0,0
134.9,0,0,0
135,0,0,0
135.1,0,0,0
135.2,0,0,0
135.3,0,0,0
135.4,0,0,0
135.5,0,0,0
135.6,0,0,0
135.7,0,0,0
135.8,0,0,0
135.9,0,0,0
136,0,0,0
136.1,0,0,0
136.2,0,0,0
136.3,0,0,0
136.4,0,0,0
136.5,0,0,0
136.6,0,0,0
136.7,0,0,0
136.8,0,0,0
136.9,0,0,0
137,0,0,0
137.1,0,0,0
137.2,0,0,0
137.3,0,0,0
137.4,0,0,0
137.5,0,0,0
137.6,0,0,0
137.7,0,0,0
137.8,0,0,0
137.9,0,0,0
138,0,0,0
138.1,0,0,0
138.2,15780,8832,1190
