id,error_rate
abmuyawm,0.15381911034286222
acgerl,0.19068498997145436
acpegho,0.1166057892520586
adpaifo,0.1465841102116677
agcowktu,0.17209465202671723
agivle,0.17499821778513777
ainplin,0.11950508739139117
amknywr,0.12973662971749297
ancedvab,0.13552559559819088
ancyclsu,0.1750691501480975
anupwr,0.08812169312169313
apigcyd,0.16163144814351108
apsskyul,0.177136801042689
ascley,0.14787992035276318
asigno,0.14495310544533926
atcilav,0.13887796778917633
atidfi,0.10766317429096335
auctjir,0.16129989965488434
awribig,0.13432078668911776
ayshekki,0.1353039486670549
eavflid,0.15288565451916722
efgoaku,0.15618171939132383
eglohabs,0.129692273101677
eicmynts,0.12123173813510445
eincufpy,0.11476833976833978
ekenucki,0.17068018220353706
elhuyoi,0.14167710944026732
enarwee,0.10057713989811401
enekbl,0.15051003462768167
enidmopt,0.08135146746257857
enjubpl,0.16771560471251382
eoccoirv,0.1320829943154074
eoivqued,0.13739591143836452
eokracy,0.14267494211858564
eoydba,0.1731057338394295
epemvagu,0.17505156284808893
equoaw,0.16209836038914843
eshria,0.1683020133398488
etirnfew,0.09759358288770054
eufdod,0.1646456308319299
evijcey,0.1653948051948052
ewbglo,0.11198347379391961
ewedkl,0.14052753077505553
ewufri,0.15145991595018574
ewvnil,0.1357388209581192
iacbyb,0.11996031746031746
iafstnue,0.13542395841766416
icdaheos,0.1556453841901603
ichankru,0.13446158176241493
ickviya,0.16773694760982896
icodmup,0.08728923283717804
idholv,0.1402655836905509
ifeshce,0.0
ifkalda,0.1521994608434667
ijhipvo,0.13447871123049396
ilcoby,0.15524393635526856
imhacy,0.1066919191919192
indtwrat,0.12957309794400937
inhiala,0.06025641025641026
insodfl,0.17748854346860454
ioivkn,0.0582010582010582
iovlito,0.15325593604140317
ishvirv,0.17795025311423016
itcemra,0.14265575377137008
itpivoa,0.16956412534208817
itquirla,0.14844632575704925
obsimjio,0.14739680162049307
ockoac,0.1384920634920635
ocwyit,0.13461735704382763
odklobci,0.10226309225823554
odocjeca,0.16117167356905765
odscixam,0.20722814743350562
ogdygdyd,0.14903692626343162
ojbaso,0.13980405514869662
ojwyky,0.15173960961804345
okavkau,0.13908108619193527
oljnek,0.1743941312611673
omluaj,0.14793845976731884
onkawcel,0.17340074869144637
onyacju,0.1472917640627046
ophgir,0.18757026914833427
oquiat,0.12092896092142
otscokdr,0.18627654296317644
oygmebra,0.15868813993813993
ubgihoot,0.15161436840090822
ubjaju,0.15026134039569902
ucgewft,0.15321819681968196
ugifmav,0.16678360388100988
ugthfu,0.142038917246828
uljior,0.17078314050014634
umsmtha,0.12135089792883766
unquekov,0.11412674074218303
upsjavci,0.16701752680290466
urfhod,0.08918044953350297
usadrifo,0.09748494259363824
uthomoov,0.13803505862329393
uthsyis,0.1278293796150939
utjanre,0.1244718899607676
utwoab,0.1453509750346699
uvburki,0.16294635552947573
